num_author,name_author,field,continent,university,h_index,h_rank,i10_index,i10_rank,Euclidean_index,Euclidean_rank,Total_Citation,Total_Citation_rank,Total_Publication,Total_Publication_rank,ABC,ABC_rank,ABC_A,ABC_A_rank,DBC,DBC_rank,CRBC,CRBC_rank,CEBC,CEBC_rank,TCEBC,TCEBC_rank,ACES,ACES_rank,ABC+CES,ABC+CES_rank,ABC*CES,ABC*CES_rank
39,Ashantha Ranasinghe,development,North America,Alberta,4,3256,3,3094,40.06245124802026,3334,79.0,3276,9,3018,0,3283,2,2431,4.5,3116,0,3203,3,3149,1.5,3437,20.03122562401013,3423,40.06245124802026,3218,0.0,3261
40,Beyza Ural-Marchand,multiple-field,North America,Alberta,6,2677,4,2824,124.93598360760602,2276,245.0,2452,10,2874,0,3283,1,2917,5.0,2983,0,3203,4,2882,2.0,3174,62.46799180380301,2517,124.93598360760602,2100,0.0,3261
41,Brendon Andrews,p_finance,North America,Alberta,0,4667,0,4385,0.0,4667,0.0,4667,2,4322,0,3283,1,2917,1.0,4350,0,3203,0,4408,0.5,4086,0.0,4667,0.0,4669,0.0,3261
42,Marco Brianti,multiple-field,North America,Alberta,3,3600,1,3809,11.832159566199232,4042,18.0,4028,5,3656,0,3283,3,2072,2.5,3719,0,3203,1,3860,2.0,3174,5.916079783099616,4060,11.832159566199232,3969,0.0,3261
43,Chetan Dave,macro,North America,Alberta,7,2425,6,2423,329.1200388915874,1311,568.0,1720,20,1840,0,3283,5,1568,10.0,1962,0,3203,6,2464,4.5,2297,164.5600194457937,1741,329.1200388915874,1105,0.0,3261
44,Claudia M. Landeo,multiple-field,North America,Alberta,8,2197,7,2254,61.04096984812741,2977,196.0,2630,19,1915,1,1576,3,2072,10.0,1962,1,1424,7,2299,4.5,2297,61.274472187876704,2534,49.54894437575342,3018,48.54894437575342,1593
45,Dana Anderson,multiple-field,North America,Alberta,5,2944,3,3094,132.00378782444085,2221,203.0,2600,7,3309,0,3283,0,3965,3.5,3382,0,3203,3,3149,1.5,3437,66.00189391222042,2466,132.00378782444085,2041,0.0,3261
46,David Brown,i_organization,North America,Alberta,13,1348,18,1155,105.47985589675405,2451,474.0,1877,40,899,0,3283,3,2072,20.0,1011,0,3203,18,1177,10.0,1294,52.73992794837702,2656,105.47985589675405,2271,0.0,3261
47,Pinar Gunes,labor,North America,Alberta,5,2944,4,2824,147.63807097087118,2106,249.0,2433,10,2874,0,3283,2,2431,5.0,2983,0,3203,4,2882,2.5,2945,73.81903548543559,2381,147.63807097087118,1929,0.0,3261
48,Haifang Huang,multiple-field,North America,Alberta,11,1625,11,1709,349.43955128176316,1249,1044.0,1242,18,1994,0,3283,0,3965,9.0,2114,0,3203,11,1737,5.5,2026,174.71977564088158,1686,349.43955128176316,1040,0.0,3261
